P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
hydrogen-rich,127.18,11.98,0.07,0.89,3.26,287.3,,,,9.4,2.25,1.036,0.01,1.04,F8 V,1.05,1.23,5998,1.736286,0.18,5.9,-0.91,9,1.99,0.1,,0
metals-rich,7.93,2.04,0.94,1.91,1.97,449.5,492.1,492.1,492.1,7.4,42.9,0.2306,0,0.23,K,0.89,0.89,5190,0.515631,,,-1.84,0.17,0.07,0.35,0,0
hydrogen-rich,79.78,7.29,0.21,1.5,3.31,324,,,,16.4,224.78,0.761,0,0.76,G,1.16,1.16,5952,1.515156,0.005,,-1.25,4.63,1.82,0.16,,0
hydrogen-rich,25.16,2.46,1.68,4.14,3.2,419.4,469.5,469.5,469.5,42.3,47.33,0.242,0,0.24,G,0.84,0.79,5265,0.430266,-0.11,,-1.75,-0.11,1.29,0.31,0,0
metals-rich,1.35,1.14,0.91,1.04,1.09,504.6,539.5,539.5,539.5,1.2,7.06,0.057,0,0.06,K,0.59,0.48,3944,0.050017,0.102,,-1.89,-0.17,-0.79,0.33,0,0
metals-rich,2.17,1.31,0.96,1.26,1.29,494.7,531.8,531.8,531.8,2.1,16.93,0.115,0,0.12,K,0.65,0.67,4648,0.187977,-0.036,,-1.92,-0.16,-0.61,0.33,0,0
no-atmosphere,0.53,0.86,0.83,0.72,0.79,499.5,530.1,530.1,530.1,0.4,13.3,0.093,0,0.09,K,0.59,0.59,4498,0.127841,-0.329,,-1.92,-0.18,-1.05,0.31,0,0
metals-rich,5.66,3.07,0.2,0.6,1.36,163.9,,,,1.1,505.45,1.15,0,1.15,K,0.79,0.72,4697,0.226379,0.406,,1.82,2.56,0.32,0.24,,0
metals-rich,1.94,1.27,0.95,1.2,1.24,501.5,476.1,538.2,648.8,1.8,3.15,0.028,0.32,0.03,M2.5V,0.31,0.3,3498,0.01209,-0.135,8,-1.87,-0.16,-0.68,0.33,0,0
hydrogen-rich,305.22,10.19,0.29,2.94,5.47,336,,,,87.9,577.9,1.48,0.08,1.48,K1 IV,1.31,3.8,4757,6.634216,0.21,4.59,-1.38,6.41,4.04,0.11,,0
