P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
hydrogen-rich,64.42,6.83,0.2,1.38,3.07,154.9,,,,13,2222,3.4,0.08,3.39,G1V,1.06,1.21,5911,1.581221,0.08,4.3,2.9,4.38,3.04,0.14,,0
hydrogen-rich,68.36,6.95,0.2,1.41,3.14,410.3,,,,13.9,75.82,0.35,0.28,0.34,G5 IV,1.01,1,5533,0.840877,0.02,7.76,-1.74,4.45,1.22,0.17,,0
metals-rich,12.05,3.93,0.2,0.78,1.75,509.8,,,,2.4,29.15,0.169,0.11,0.17,G9.5V,0.76,0.64,5940,0.459205,,,-1.99,2.91,-0.23,0.22,,0
hydrogen-rich,1042.84,11.6,0.67,7.75,9.48,329,,,,696.6,263.1,0.83,0.25,0.8,F8 V,1.1,1.21,6205,1.947277,0.194,1.48,-1.3,8.19,8.27,0.08,,0
hydrogen-rich,111.47,8.04,0.21,1.72,3.72,161.7,,,,23.9,1353.6,2.395,0.25,2.32,G5V,0.99,1.01,5675,0.946024,0.23,,2.24,5.06,3.87,0.13,,0
hydrogen-rich,972.9,11.57,0.63,7.27,9.17,333.8,,,,611,352.2,1.08,0.17,1.06,F8 V,1.36,1.55,6330,3.460733,0.25,1.45,-1.31,8.07,7.93,0.08,,0
hydrogen-rich,1542.01,11.68,0.97,11.3,11.49,169.3,,,,1491.7,2374,3.86,0.76,2.51,F8 V,1.36,1.55,6330,3.460733,0.25,1.45,0.97,8.97,13.27,0.06,,0
hydrogen-rich,445.12,10.82,0.35,3.8,6.41,342.5,,,,156.4,868,2.14,0.36,1.99,K0,1.72,5.4,4932,15.479954,0.14,2.1,-1.47,6.92,4.82,0.1,,0
metals-rich,3.08,1.45,1.01,1.47,1.46,615.3,567.6,654.1,827.6,3.1,10.87,0.0852,0.38,0.08,K0,0.7,0.64,5150,0.256376,,,-2.13,-0.16,-0.62,0.31,0,0
hydrogen-rich,111.28,8.04,0.21,1.72,3.72,393,,,,23.9,57.44,0.13,0.16,0.13,M0V,0.67,0.7,3840,0.096262,-0.07,,-1.63,5.05,1.88,0.15,,0
hydrogen-rich,167.55,8.96,0.23,2.09,4.32,167.1,,,,39.1,431.7,1.01,0.27,0.97,K5V,0.73,0.68,4640,0.1923,0.09,7.87,1.53,5.59,4.66,0.12,,0
hydrogen-rich,105.87,8.44,0.18,1.49,3.54,188.4,,,,18.6,228.78,0.7048,0.01,0.7,K,0.69,0.65,4450,0.148647,-0.3,,0.74,5.54,3.26,0.13,,0
no-atmosphere,0.89,1.01,0.87,0.88,0.94,706,738.9,738.9,738.9,0.8,19.58,0.11,0,0.11,G8,0.91,0.94,5466,0.713694,0.02,8.8,-2.2,-0.17,-1.05,0.29,0,0
metals-rich,5.4,3.02,0.2,0.59,1.34,448.8,,,,1.1,49.51,0.2956,0,0.3,G,1.04,0.96,5636,0.841255,,,-1.84,2.55,-0.51,0.24,,0
metals-rich,13.26,2.13,1.38,2.93,2.5,515.9,562.3,562.3,562.3,18.2,7.88,0.0631,0,0.06,K,0.54,0.52,4075,0.066897,,,-1.92,-0.13,0.4,0.34,0,0
no-atmosphere,0.12,0.54,0.76,0.41,0.47,559.1,582.8,582.8,582.8,0.1,12.44,0.0929,0,0.09,K2V,0.69,0.63,4869,0.200138,-0.21,7,-2.03,-0.19,-1.35,0.29,0,0
hydrogen-rich,24.53,2.45,1.67,4.09,3.16,493.4,543.3,543.3,543.3,40.9,12.04,0.089,0,0.09,K,0.65,0.58,4391,0.111429,-0.2,,-1.9,-0.11,1.02,0.32,0,0
metals-rich,3,1.34,1.25,1.67,1.5,630.3,670,670,670,3.8,10.31,0.086,0,0.09,K,0.81,0.76,4809,0.277164,0.18,,-2.1,-0.39,-0.58,0.31,0,0
metals-rich,7,1.18,4.27,5.04,2.44,693.7,742.3,742.3,742.3,29.9,5.19,0.052,0,0.05,K,0.71,0.65,4450,0.148647,-0.003,,-2.13,-1.34,0.06,0.28,0,0
hydrogen-rich,40.01,1.6,9.74,15.6,5,597.9,657.4,657.4,657.4,389.7,8.04,0.07,0,0.07,K,0.71,0.65,4450,0.148647,-0.003,,-2.05,-1.49,2.22,0.23,0,0
metals-rich,6.1,1.75,1.14,2,1.87,555.9,598.3,598.3,598.3,7,13.82,0.1,0,0.1,K,0.7,0.64,4984,0.226758,-0.535,,-2.03,-0.14,-0.2,0.33,0,0
metals-rich,4.98,2.95,0.19,0.57,1.3,455.8,,,,1,62.3,0.303,0,0.3,G,0.89,1,5690,0.940457,-0.391,,-1.86,2.52,-0.55,0.24,,0
metals-rich,9.51,1.96,1.26,2.47,2.2,535.8,580.4,580.4,580.4,12,13.98,0.1,0,0.1,K,0.68,0.62,4880,0.195593,-0.556,,-2,-0.14,0.11,0.33,0,0
metals-rich,1.65,1.21,0.93,1.12,1.17,673.9,709.7,709.7,709.7,1.5,10.4,0.088,0,0.09,G,0.79,0.75,5235,0.379035,-0.134,,-2.17,-0.17,-0.86,0.3,0,0
metals-rich,8.48,1.9,1.23,2.34,2.11,537.6,581.6,581.6,581.6,10.4,20.74,0.138,0,0.14,K,0.82,0.78,5128,0.37746,0.071,,-2.01,-0.14,0.03,0.33,0,0
no-atmosphere,0.63,0.91,0.84,0.77,0.83,691.8,723.1,723.1,723.1,0.5,25.21,0.164,0,0.16,F,0.93,1.12,6004,1.462476,-0.533,,-2.22,-0.18,-1.12,0.29,0,0
metals-rich,1.54,1.19,0.92,1.1,1.14,686.7,722.2,722.2,722.2,1.4,23.44,0.163,0,0.16,G,0.94,1.19,5764,1.402425,-0.149,,-2.2,-0.17,-0.89,0.3,0,0
metals-rich,4.09,1.57,1.06,1.66,1.62,606.4,646.7,646.7,646.7,4.3,9.03,0.076,0,0.08,K,0.72,0.67,4632,0.185402,,,-2.07,-0.15,-0.46,0.32,0,0
metals-rich,3.28,2.59,0.19,0.49,1.13,477.8,,,,0.6,67.83,0.319,0,0.32,G,1.03,1.1,5835,1.258458,-0.311,,-1.92,2.42,-0.73,0.24,,0
metals-rich,3.38,2.61,0.19,0.5,1.14,482.8,,,,0.6,37.51,0.213,0,0.21,G,0.92,0.81,5615,0.585139,-0.145,,-1.93,2.42,-0.73,0.24,,0
no-atmosphere,0.71,0.94,0.85,0.8,0.87,709.9,741.8,741.8,741.8,0.6,3.62,0.039,0,0.04,K,0.6,0.56,4249,0.091709,0.168,,-2.12,-0.18,-1.1,0.29,0,0
metals-rich,9.51,1.96,1.26,2.47,2.2,530.1,574.7,574.7,574.7,12,10.48,0.08,0,0.08,K,0.65,0.58,4465,0.119959,-0.121,,-1.96,-0.14,0.12,0.34,0,0
metals-rich,1.23,1.11,0.9,1,1.05,688.6,723,723,723,1.1,2.55,0.029,0,0.03,K,0.55,0.49,3799,0.04487,-0.042,,-2.07,-0.17,-0.96,0.3,0,0
metals-rich,21.94,2.31,1.79,4.12,3.08,506.4,556.1,556.1,556.1,39.2,34.92,0.2076,0,0.21,G,0.98,0.97,5314,0.673162,-0.186,,-1.97,-0.24,0.92,0.31,0,0
metals-rich,1.45,1.16,0.92,1.07,1.11,700.7,735.9,735.9,735.9,1.3,7.63,0.07,0,0.07,K,0.8,0.72,4955,0.280369,0.05,,-2.17,-0.17,-0.92,0.3,0,0
metals-rich,2.81,1.41,1,1.41,1.41,648.5,686.9,686.9,686.9,2.8,25.1,0.168,0,0.17,G,1,1.07,5828,1.185047,-0.074,,-2.17,-0.16,-0.66,0.31,0,0
metals-rich,10.17,1.99,1.28,2.56,2.26,544.2,589.2,589.2,589.2,13.1,42.47,0.242,0,0.24,F,0.94,1.02,6012,1.219456,-0.139,,-2.05,-0.13,0.14,0.33,0,0
no-atmosphere,0.53,0.86,0.83,0.72,0.79,696.2,726.7,726.7,726.7,0.4,10.06,0.085,0,0.09,G,0.79,0.78,5212,0.402807,-0.175,,-2.18,-0.18,-1.15,0.29,0,0
metals-rich,8.29,1.89,1.22,2.31,2.09,555.8,599.7,599.7,599.7,10.1,34.76,0.2,0,0.2,G,0.94,0.99,5666,0.906289,-0.223,,-2.06,-0.14,-0.01,0.33,0,0
metals-rich,1.81,1.24,0.94,1.17,1.21,658.8,695.1,695.1,695.1,1.7,16.73,0.126,0,0.13,G,0.87,0.84,5787,0.710006,-0.272,,-2.18,-0.16,-0.82,0.3,0,0
metals-rich,2.65,1.39,0.99,1.38,1.38,646.6,684.7,684.7,684.7,2.6,12.31,0.096,0,0.1,K,0.74,0.77,5178,0.382401,-0.225,,-2.14,-0.16,-0.68,0.31,0,0
metals-rich,3.14,1.46,1.02,1.48,1.47,635.2,674.2,674.2,674.2,3.2,14.51,0.11,0,0.11,G,0.78,0.79,5376,0.467715,-0.191,,-2.14,-0.16,-0.6,0.31,0,0
no-atmosphere,0.39,0.78,0.81,0.64,0.71,633,662.1,662.1,662.1,0.3,13.06,0.101,0,0.1,K,0.67,0.78,5166,0.388774,-0.539,,-2.13,-0.18,-1.19,0.29,0,0
metals-rich,6.1,1.75,1.14,2,1.87,568.2,610.6,610.6,610.6,7,54.28,0.297,0,0.3,F,1.19,1.33,6090,2.183043,-0.145,,-2.09,-0.14,-0.21,0.32,0,0
metals-rich,2,1.28,0.95,1.22,1.25,646.5,638,683.3,743.3,1.9,13.96,0.105,0.16,0.1,G8.5V,0.78,0.79,5344,0.460153,-0.55,5.8,-2.15,-0.16,-0.78,0.3,0,0
hydrogen-rich,3141.25,11.58,2.03,23.44,16.47,316.2,,,,6362.4,335.1,0.995,0.29,0.95,F6V,1.22,1.23,6484,2.399231,0.12,0.91,-1.19,11.27,15.94,0.05,,0
hydrogen-rich,1071.46,11.61,0.68,7.95,9.61,325.3,,,,733.4,133.71,0.49,0.51,0.42,G6 V,0.9,0.9,5540,0.684564,0.1,8.77,-1.41,8.24,8.1,0.08,,0
metals-rich,6.99,1.81,1.18,2.13,1.97,565.4,587.3,608.4,632.7,8.2,2.65,0.0287,0.08,0.03,M2.5,0.45,0.43,3314,0.02001,,,-1.93,-0.14,-0.13,0.34,0,0
metals-rich,5.4,1.69,1.12,1.89,1.79,614.2,632.7,655.9,682.6,6,1.94,0.0208,0.08,0.02,M4 V,0.33,0.36,3350,0.014644,0.05,2.5,-1.98,-0.15,-0.34,0.33,0,0
hydrogen-rich,254.35,9.84,0.27,2.63,5.08,173.7,,,,67.8,829,1.7,0.04,1.7,G5 V,0.87,0.85,5571,0.624396,-0.284,4.47,1.67,6.16,5.73,0.1,,0
metals-rich,2.7,1.4,0.99,1.39,1.39,661,699.2,699.2,699.2,2.7,18.32,0.1207,0,0.12,G8V,0.85,0.9,5490,0.660183,-0.38,14,-2.17,-0.16,-0.68,0.3,0,0
hydrogen-rich,207.3,9.42,0.25,2.34,4.69,171.1,,,,51.4,885.5,1.71,0.12,1.7,G4 V,0.83,0.82,5610,0.597543,-0.442,3.33,1.79,5.88,5.19,0.11,,0
hydrogen-rich,5627.54,11.1,4.12,45.71,22.52,202.4,,,,23180.6,2134.76,3.695,0.36,3.45,G4 IV,1.48,2.44,5697,5.626708,0.27,3.28,0.46,14.42,28.22,0.03,,0
metals-rich,12.08,3.93,0.2,0.78,1.75,520.3,,,,2.4,31.56,0.186,0.13,0.18,K0V,0.86,0.9,5385,0.604336,-0.05,7,-2,2.91,-0.25,0.22,,0
hydrogen-rich,1430.73,11.68,0.9,10.5,11.07,304.5,,,,1286.1,2082,4.3,0.66,3.23,G7 III,2.39,9.12,4892,42.739089,0.09,,-1.39,8.8,9.51,0.07,,0
hydrogen-rich,899.77,11.53,0.59,6.77,8.83,186.7,,,,528.2,1316.24,2.47,0.21,2.41,G3 V,1.17,1.29,5874,1.777482,0.23,3.17,1.16,7.94,10.68,0.07,,0
hydrogen-rich,2193.79,11.67,1.38,16.1,13.71,177.2,,,,3025,3638,5.02,0.66,3.77,G0V,1.28,2.45,5940,6.680477,,,0.88,9.94,16.52,0.05,,0
hydrogen-rich,131.31,8.41,0.22,1.86,3.95,391.5,,,,29,129.8,0.51,0.21,0.5,G2V,1.3,1.15,5929,1.466261,-0.06,3.88,-1.65,5.27,2.1,0.14,,0
hydrogen-rich,457.83,10.86,0.36,3.88,6.49,168.8,,,,163.6,345.63,0.89,0.54,0.75,K5V,0.78,0.55,4962,0.165358,0.1,6,1.19,6.96,7.43,0.09,,0
hydrogen-rich,130.36,8.4,0.22,1.85,3.94,399.8,,,,28.7,32.03,0.178,0.05,0.18,K5V,0.73,0.68,4640,0.1923,0.09,7.87,-1.67,5.26,2.08,0.14,,0
no-atmosphere,0.31,0.73,0.8,0.58,0.65,720.1,748.1,748.1,748.1,0.2,0.45,0.006,0,0.01,M,0.13,0.17,3068,0.002297,-0.48,,-2.03,-0.18,-1.26,0.29,0,0
metals-rich,3.88,1.55,1.05,1.63,1.59,668.6,708.6,708.6,708.6,4.1,4.62,0.048,0,0.05,K,0.62,0.58,4362,0.109267,,,-2.1,-0.15,-0.54,0.31,0,0
hydrogen-rich,2209.68,1.57,573.18,898.75,37.54,631.3,725.4,725.4,725.4,1266548.4,11.61,0.0943,0,0.09,K,0.83,0.73,5145,0.335025,,,-2.13,-1.08,27.15,0.04,0,0
hydrogen-rich,651.78,1.1,492.91,541.02,24.37,808.5,896.8,896.8,896.8,321266.8,11.87,0.1031,0,0.1,F,1.04,0.94,6074,1.079058,,,-2.29,-2.12,14.84,0.06,0,0
metals-rich,2.17,1.31,0.96,1.26,1.29,724.6,761.8,761.8,761.8,2.1,5.71,0.0553,0,0.06,K2V,0.69,0.63,4869,0.200138,-0.21,7,-2.18,-0.16,-0.81,0.3,0,0
metals-rich,15.1,2.2,1.43,3.13,2.62,539.6,586.8,586.8,586.8,21.6,44.55,0.25,0,0.25,F,1.02,1.03,6015,1.258094,-0.2,,-2.04,-0.13,0.45,0.32,0,0
metals-rich,7,2.2,0.66,1.45,1.79,540.4,581,581,581,4.6,16.15,0.117,0,0.12,K,0.81,0.76,4809,0.277164,0.18,,-2,0.58,-0.24,0.32,0,0
hydrogen-rich,33.07,1.13,22.84,25.84,5.41,810.7,873,873,873,755.3,22.8,0.1658,0,0.17,F,1.17,1.55,6013,2.817851,-0.048,,-2.29,-2.04,1.94,0.22,0,0
metals-rich,8.1,1.88,1.22,2.29,2.08,567.4,611.1,611.1,611.1,9.9,18.74,0.13,0,0.13,K,0.84,0.8,5187,0.415657,-0.12,,-2.06,-0.14,-0.05,0.33,0,0
metals-rich,12.15,2.08,1.34,2.8,2.41,548.3,594.3,594.3,594.3,16.3,24.67,0.16,0,0.16,G,0.83,0.83,5460,0.549309,-0.102,,-2.04,-0.13,0.26,0.33,0,0
metals-rich,2.51,1.37,0.98,1.34,1.35,678.5,716.3,716.3,716.3,2.5,7.41,0.068,0,0.07,K,0.76,0.7,4796,0.232596,0.052,,-2.14,-0.16,-0.72,0.31,0,0
metals-rich,1.65,1.21,0.93,1.12,1.17,771.4,807.2,807.2,807.2,1.5,6.2,0.062,0,0.06,K,0.86,0.76,4997,0.323113,0.238,,-2.21,-0.17,-0.92,0.29,0,0
metals-rich,1.86,1.25,0.94,1.18,1.22,701.4,737.8,737.8,737.8,1.8,8.35,0.075,0,0.07,K,0.86,0.76,4997,0.323113,0.238,,-2.17,-0.16,-0.84,0.3,0,0
metals-rich,10.64,2.02,1.3,2.62,2.3,554.3,599.6,599.6,599.6,13.8,20.73,0.139,0,0.14,G,0.79,0.81,5208,0.433056,-0.051,,-2.04,-0.13,0.16,0.33,0,0
metals-rich,2.37,1.34,0.97,1.31,1.33,701.8,739.4,739.4,739.4,2.3,9.94,0.087,0,0.09,G,0.85,0.79,5282,0.435851,0.006,,-2.19,-0.16,-0.76,0.3,0,0
metals-rich,7.73,1.86,1.2,2.24,2.04,578.6,622.1,622.1,622.1,9.3,17.74,0.128,0,0.13,G,0.85,0.79,5282,0.435851,0.006,,-2.08,-0.14,-0.09,0.32,0,0
metals-rich,22.16,2.4,1.61,3.86,3.04,517.1,566.4,566.4,566.4,35.7,52.81,0.275,0,0.28,F,1,1.02,6089,1.28314,-0.298,,-2,-0.12,0.86,0.31,0,0
metals-rich,10.17,1.99,1.28,2.56,2.26,560.7,605.7,605.7,605.7,13.1,20.03,0.142,0,0.14,G,0.89,0.84,5228,0.472923,0.241,,-2.05,-0.13,0.11,0.33,0,0
metals-rich,3.49,1.5,1.03,1.55,1.53,678.5,718,718,718,3.6,11.19,0.095,0,0.1,G,0.86,0.83,5206,0.454007,0.143,,-2.17,-0.15,-0.6,0.31,0,0
metals-rich,4.77,1.64,1.09,1.78,1.71,619.7,660.8,660.8,660.8,5.2,21.85,0.152,0,0.15,G,0.98,0.88,5841,0.808731,-0.115,,-2.14,-0.15,-0.4,0.31,0,0
metals-rich,7.38,1.84,1.19,2.19,2,590.9,634.2,634.2,634.2,8.8,33.2,0.204,0,0.2,F,1.03,1.01,6023,1.204437,-0.188,,-2.12,-0.14,-0.14,0.32,0,0
metals-rich,1.7,1.22,0.93,1.14,1.18,744.9,780.9,780.9,780.9,1.6,12.65,0.099,0,0.1,G,0.81,0.9,5603,0.716238,-0.332,,-2.24,-0.17,-0.89,0.29,0,0
metals-rich,16.81,2.25,1.47,3.32,2.73,519.9,567.6,567.6,567.6,24.8,40.71,0.232,0,0.23,G,0.94,0.9,5986,0.933086,-0.238,,-2.01,-0.12,0.59,0.32,0,0
no-atmosphere,0.58,0.88,0.84,0.74,0.81,777.7,808.6,808.6,808.6,0.5,1.94,0.024,0,0.02,K,0.59,0.48,3944,0.050017,0.102,,-2.13,-0.18,-1.17,0.29,0,0
metals-rich,1.54,1.19,0.92,1.1,1.14,719.7,755.2,755.2,755.2,1.4,13.93,0.111,0,0.11,G,0.85,0.88,5797,0.784636,-0.299,,-2.23,-0.17,-0.91,0.29,0,0
metals-rich,7.65,3.38,0.2,0.67,1.5,452.3,,,,1.5,56.48,0.281,0,0.28,G,0.85,0.88,5797,0.784636,-0.299,,-1.85,2.68,-0.36,0.23,,0
no-atmosphere,1.07,1.06,0.89,0.94,1,813.5,847.2,847.2,847.2,0.9,2.24,0.027,0,0.03,K,0.53,0.52,4204,0.075779,-0.48,,-2.17,-0.17,-1.05,0.29,0,0
metals-rich,17.93,2.28,1.5,3.43,2.8,528.9,577,577,577,26.9,31.78,0.191,0,0.19,G,1.29,0.9,5526,0.67767,0.487,,-2.01,-0.12,0.62,0.32,0,0
metals-rich,1.65,1.21,0.93,1.12,1.17,783.7,819.5,819.5,819.5,1.5,6.77,0.066,0,0.07,K,0.98,0.8,5105,0.389989,0.133,,-2.23,-0.17,-0.92,0.29,0,0
metals-rich,2.37,1.34,0.97,1.31,1.33,699.1,736.6,736.6,736.6,2.3,8.26,0.075,0,0.07,K,0.78,0.72,5117,0.318872,-0.097,,-2.18,-0.16,-0.76,0.3,0,0
metals-rich,9.29,1.95,1.26,2.45,2.18,562.1,606.6,606.6,606.6,11.7,15.96,0.116,0,0.12,K,0.78,0.72,5117,0.318872,-0.097,,-2.05,-0.14,0.05,0.33,0,0
metals-rich,1.45,1.16,0.92,1.07,1.11,736.2,771.4,771.4,771.4,1.3,10.56,0.091,0,0.09,G,0.84,0.8,5631,0.577314,-0.237,,-2.23,-0.17,-0.94,0.29,0,0
no-atmosphere,0.58,0.88,0.84,0.74,0.81,734.2,765.1,765.1,765.1,0.5,10.33,0.087,0,0.09,G,0.77,0.72,5788,0.521998,-0.718,,-2.24,-0.18,-1.15,0.28,0,0
metals-rich,13.85,2.15,1.39,2.99,2.54,545.5,592.2,592.2,592.2,19.3,59.98,0.312,0,0.31,F,1.2,1.28,6108,2.046001,-0.026,,-2.05,-0.13,0.37,0.32,0,0
no-atmosphere,0.68,0.93,0.85,0.79,0.86,737.6,769.3,769.3,769.3,0.6,4.08,0.044,0,0.04,K,0.68,0.61,4493,0.136049,-0.046,,-2.16,-0.18,-1.12,0.29,0,0
metals-rich,1.92,1.27,0.95,1.2,1.23,732.3,768.8,768.8,768.8,1.8,11.83,0.102,0,0.1,G,1.01,0.88,5654,0.710033,-0.009,,-2.23,-0.16,-0.85,0.29,0,0
no-atmosphere,0.33,0.74,0.8,0.6,0.66,673.9,624.8,702.1,832.3,0.3,9.74,0.0811,0.29,0.08,K,0.76,0.75,5046,0.328938,-0.55,11.23,-2.16,-0.18,-1.24,0.29,0,0
metals-rich,7.6,9.69,0.01,0.08,0.89,342.1,,,,0.1,130.19,0.509,0.01,0.51,G,1,0.91,5803,0.842525,,,-1.38,14.35,-0.8,0.06,,0
metals-rich,4.13,1.57,1.06,1.67,1.62,641.2,675.7,681.5,687.6,4.4,66.54,0.36,0.02,0.36,,1.41,,,5.2,,1,-2.16,-0.15,-0.49,0.31,0,0
metals-rich,18.22,4.51,0.2,0.9,2.01,506.4,,,,3.6,38.02,0.2175,0.14,0.22,G5V,0.95,0.94,5531,0.741925,-0.01,8.96,-1.98,3.18,-0.01,0.21,,0
no-atmosphere,1.14,1.09,0.89,0.97,1.03,1067.9,1101.9,1101.9,1101.9,1,3.24,0.04,0,0.04,K1V,0.93,0.86,5214,0.493851,,,-2.33,-0.17,-1.12,0.28,0,0
hydrogen-rich,29,5.27,0.2,1.05,2.35,137.3,,,,5.8,500,1.06,0.04,1.06,K7V/M0V,0.7,0.55,4324,0.094876,-0.14,4.4,3.4,3.56,2.14,0.16,,0
hydrogen-rich,445.12,10.82,0.35,3.8,6.41,364.1,,,,156.4,792.6,1.9,0,1.9,K0IV,1.55,5.5,4854,15.066566,0.06,,-1.53,6.92,4.77,0.1,,0
metals-rich,7.85,1.87,1.21,2.25,2.05,598.3,615,641.9,674,9.5,15.3,0.1134,0.1,0.11,K0V,0.83,0.78,5177,0.392095,-0.15,,-2.1,-0.14,-0.11,0.32,0,0
metals-rich,13.42,4.07,0.2,0.81,1.82,534.5,,,,2.7,33.82,0.1961,0.16,0.19,G8V,0.88,0.82,5940,0.749805,,,-2.04,2.97,-0.22,0.22,,0
hydrogen-rich,4339.88,11.36,2.96,33.61,19.54,167,,,,12837.7,528.07,1.167,0.82,0.67,K0V,0.75,0.74,5027,0.310872,-0.37,4.75,0.45,12.84,23.05,0.04,,0
metals-rich,15.83,4.3,0.2,0.86,1.92,528.8,,,,3.2,51.28,0.2665,0.11,0.26,G0V,0.96,1.09,5940,1.321827,,,-2.02,3.08,-0.12,0.21,,0
metals-rich,6.61,1.78,1.16,2.08,1.92,626.3,651.2,669,688.8,7.7,9.62,0.0799,0.06,0.08,K2.5V,0.77,0.65,4977,0.233304,-0.31,1.2,-2.11,-0.14,-0.24,0.32,0,0
hydrogen-rich,476.91,10.92,0.37,4,6.61,154,,,,174.8,1534,2.6,0.73,1.78,G2V,1.02,0.98,5940,1.057716,-0.04,,1.69,7.02,7.45,0.09,,0
metals-rich,10.11,3.71,0.2,0.74,1.65,560.1,,,,2,46.02,0.257,0.24,0.25,G2V,1.07,1.19,5940,1.565398,,,-2.08,2.81,-0.39,0.22,,0
hydrogen-rich,152.61,8.75,0.23,1.99,4.18,160.6,,,,34.8,3827,5.16,0.25,5,G3-4,1.36,2.11,5729,4.272489,0.18,,2.33,5.47,4.58,0.12,,0
hydrogen-rich,667.67,11.31,0.46,5.22,7.68,355,,,,308.4,670.2,1.73,0.21,1.69,K1III,1.58,4.6,4951,11.407151,0.18,2.7,-1.5,7.49,6.1,0.09,,0
hydrogen-rich,635.88,11.26,0.45,5.02,7.52,357.4,,,,283.3,464.3,1.32,0.26,1.28,G5,1.33,3.4,5071,6.858389,-0.07,4,-1.52,7.42,5.88,0.09,,0
hydrogen-rich,270.25,9.96,0.27,2.72,5.21,377.6,,,,73.9,194.3,0.64,0.17,0.63,G0,0.92,1.36,5900,1.990384,-0.51,10.7,-1.59,6.24,3.43,0.12,,0
metals-rich,2.77,1.41,1,1.4,1.4,704.7,651.7,743,912.3,2.8,7.28,0.0652,0.34,0.06,K0,0.7,0.64,5150,0.256376,,,-2.2,-0.16,-0.73,0.3,0,0
metals-rich,20.21,2.35,1.56,3.67,2.93,529.1,577.8,577.8,577.9,31.6,45.29,0.241,0,0.24,G,0.91,1.06,5708,1.080252,-0.15,10.6,-2.02,-0.12,0.74,0.32,0,0
metals-rich,2,2.49,0.13,0.32,0.9,525.3,,,,0.3,46.69,0.25,0,0.25,G,0.95,1.1,5680,1.129974,0,8,-2.01,3.05,-0.97,0.21,,0
no-atmosphere,0.56,0.87,0.84,0.73,0.8,1040,1070.7,1070.7,1070.7,0.5,6.1,0.0507,0,0.05,G8,0.91,0.94,5466,0.713694,0.02,8.8,-2.34,-0.18,-1.25,0.27,0,0
no-atmosphere,0.63,0.91,0.84,0.77,0.83,946.2,977.5,977.5,977.5,0.5,9.61,0.0906,0,0.09,G,1.08,1.24,5793,1.561156,0.12,6.3,-2.33,-0.18,-1.21,0.28,0,0
metals-rich,3.49,1.5,1.03,1.55,1.53,740.4,779.9,779.9,779.9,3.6,4.64,0.0488,0,0.05,K,0.72,0.65,4613,0.170072,-0.56,,-2.17,-0.15,-0.65,0.31,0,0
metals-rich,9.09,1.94,1.25,2.42,2.17,596.9,641.3,641.3,641.3,11.3,5.17,0.051,0,0.05,K,0.66,0.54,4164,0.078363,-0.2,,-2.03,-0.14,-0.02,0.33,0,0
no-atmosphere,1.54,1.19,0.92,1.1,1.14,960.1,995.6,995.6,995.6,1.4,8.72,0.089,0,0.09,G,1.13,1.2,5930,1.597611,-0.17,,-2.34,-0.17,-1.02,0.28,0,0
metals-rich,4,0.69,12.21,8.42,2.41,714.2,764.8,764.8,764.8,48.9,7.07,0.067,0,0.07,K,0.81,0.76,4809,0.277164,0.18,,-2.17,-2.06,0.01,0.25,0,0
no-atmosphere,1.07,1.06,0.89,0.94,1,1069.8,1103.6,1103.6,1103.6,0.9,7.96,0.082,0,0.08,G,1.16,1.41,5851,2.090492,-0.092,,-2.37,-0.17,-1.14,0.28,0,0
metals-rich,22.16,2.4,1.61,3.86,3.04,540.2,589.5,589.5,589.5,35.7,28.57,0.172,0,0.17,G,0.83,0.84,5544,0.598055,-0.588,,-2.03,-0.12,0.8,0.31,0,0
metals-rich,4.8,2.53,0.3,0.75,1.38,527.3,562.8,562.8,562.8,1.4,11.78,0.09,0,0.09,K,0.71,0.65,4450,0.148647,-0.003,,-1.96,1.71,-0.57,0.27,0,0
no-atmosphere,0.66,0.92,0.85,0.78,0.85,1021.4,1052.9,1052.9,1052.9,0.6,4.13,0.049,0,0.05,G,0.92,0.84,5595,0.620367,-0.083,,-2.34,-0.18,-1.22,0.27,0,0
metals-rich,13.85,2.15,1.39,2.99,2.54,560.6,607.3,607.3,607.3,19.3,6.31,0.055,0,0.06,K,0.56,0.53,4096,0.070938,-0.449,,-1.98,-0.13,0.34,0.33,0,0
metals-rich,3.31,1.48,1.02,1.52,1.5,708.4,747.6,747.6,747.6,3.4,26.7,0.181,0,0.18,F,1.03,1.26,6089,1.95801,-0.199,,-2.23,-0.16,-0.64,0.3,0,0
hydrogen-rich,29.92,1.13,20.67,23.38,5.14,930.3,991.8,991.8,991.8,618.4,15.09,0.1259,0,0.13,F,1.17,1.55,6013,2.817851,-0.048,,-2.34,-2.01,1.53,0.23,0,0
metals-rich,3.1,2.54,0.19,0.48,1.11,519.7,,,,0.6,82.2,0.393,0,0.39,G,1.18,1.64,5770,2.674735,,,-2,2.41,-0.79,0.24,,0
